created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2023-08-10T16:35:05+01:00,64,2023-08-10T16:35:05+0100,20.894699096679688,71.4202880859375,638,,,False,,,,
2023-08-10T16:35:36+01:00,65,2023-08-10T16:35:35+0100,20.916061401367188,71.5087890625,641,,,False,,,,
2023-08-10T16:36:06+01:00,66,2023-08-10T16:36:06+0100,20.910720825195312,71.42181396484375,644,,,False,,,,
2023-08-10T16:36:37+01:00,67,2023-08-10T16:36:36+0100,20.93475341796875,71.3592529296875,647,,,False,,,,
2023-08-10T16:37:07+01:00,68,2023-08-10T16:37:07+0100,20.948104858398438,71.43707275390625,649,,,False,,,,
2023-08-10T16:37:38+01:00,69,2023-08-10T16:37:37+0100,20.937423706054688,71.46759033203125,653,,,False,,,,
2023-08-10T16:38:08+01:00,70,2023-08-10T16:38:08+0100,20.990829467773438,71.45233154296875,657,,,False,,,,
2023-08-10T16:38:38+01:00,71,2023-08-10T16:38:38+0100,20.958786010742188,71.5240478515625,669,,,False,,,,
2023-08-10T16:39:09+01:00,72,2023-08-10T16:39:09+0100,20.969467163085938,71.5362548828125,691,,,False,,,,
2023-08-10T16:39:40+01:00,73,2023-08-10T16:39:39+0100,20.972137451171875,71.56829833984375,695,,,False,,,,
2023-08-10T16:40:10+01:00,74,2023-08-10T16:40:10+0100,20.99884033203125,71.57135009765625,704,,,False,,,,
2023-08-10T16:40:40+01:00,75,2023-08-10T16:40:40+0100,20.990829467773438,71.6339111328125,727,,,False,,,,
2023-08-10T16:41:11+01:00,76,2023-08-10T16:41:10+0100,20.9881591796875,71.6766357421875,746,,,False,,,,
2023-08-10T16:41:41+01:00,77,2023-08-10T16:41:41+0100,21.009521484375,71.7010498046875,764,,,False,,,,
2023-08-10T16:42:12+01:00,78,2023-08-10T16:42:11+0100,20.972137451171875,71.69647216796875,767,,,False,,,,
2023-08-10T16:42:42+01:00,79,2023-08-10T16:42:42+0100,20.996170043945312,71.63543701171875,769,,,False,,,,
2023-08-10T16:43:13+01:00,80,2023-08-10T16:43:12+0100,21.025543212890625,71.61712646484375,770,,,False,,,,
2023-08-10T16:43:43+01:00,81,2023-08-10T16:43:43+0100,20.996170043945312,71.7529296875,772,,,False,,,,
2023-08-10T16:44:13+01:00,82,2023-08-10T16:44:13+0100,21.02020263671875,71.7987060546875,783,,,False,,,,
2023-08-10T16:44:44+01:00,83,2023-08-10T16:44:43+0100,21.017532348632812,71.77734375,785,,,False,,,,
2023-08-10T16:45:14+01:00,84,2023-08-10T16:45:14+0100,21.012191772460938,71.75445556640625,787,,,False,,,,
2023-08-10T16:45:45+01:00,85,2023-08-10T16:45:44+0100,21.044235229492188,71.7254638671875,788,,,False,,,,
2023-08-10T16:46:16+01:00,86,2023-08-10T16:46:15+0100,21.033554077148438,71.65985107421875,791,,,False,,,,
2023-08-10T16:46:47+01:00,87,2023-08-10T16:46:45+0100,21.06292724609375,71.7803955078125,794,,,False,,,,
2023-08-10T16:47:16+01:00,88,2023-08-10T16:47:16+0100,21.060256958007812,71.7376708984375,809,,,False,,,,
2023-08-10T16:47:47+01:00,89,2023-08-10T16:47:46+0100,21.081619262695312,71.6644287109375,810,,,False,,,,
